field, time, ra, dec, az, alt, airmass, ha, FU1_ra, FU1_dec, FU1_Delta_ra, FU1_Delta_dec, FU1_distance, FU1_Delta_Teff, FU1_X_calculated, FU1_Y_calculated, FU1_X_observed, FU1_Y_observed, FU2_ra, FU2_dec, FU2_Delta_ra, FU2_Delta_dec, FU2_distance, FU2_Delta_Teff, FU2_X_calculated, FU2_Y_calculated, FU2_X_observed, FU2_Y_observed, FU3_ra, FU3_dec, FU3_Delta_ra, FU3_Delta_dec, FU3_distance, FU3_Delta_Teff, FU3_X_calculated, FU3_Y_calculated, FU3_X_observed, FU3_Y_observed, FU4_ra, FU4_dec, FU4_Delta_ra, FU4_Delta_dec, FU4_distance, FU4_Delta_Teff, FU4_X_calculated, FU4_Y_calculated, FU4_X_observed, FU4_Y_observed, FU5_ra, FU5_dec, FU5_Delta_ra, FU5_Delta_dec, FU5_distance, FU5_Delta_Teff, FU5_X_calculated, FU5_Y_calculated, FU5_X_observed, FU5_Y_observed 
HD4435_W, 1565597379.314427, 11.877114080577599, -9.467551162063513, 359.1564525168883, 70.20827205226472, 1.062778694263793, 0.005109302016217581, 12.01289509823349, -9.838276838804191, 0.13578101765589068, -0.3707256767406779, 33363.24745699879, 1171.8000000000002, 11370116, -7821418, 11387501, -7831125, 12.291043249831825, -9.446438920431751, 0.4139291692542262, 0.021112241631762174, 34614.686110871866, -119.63000000000011, 12928967, -8810192, 12931802, -8817320, 11.99823600837206, -9.189518367401776, 0.12112192779446218, 0.2780327946617369, 25621.667832102343, 1043.2700000000004, 6361344, -1822119, 6366713, -1824067, 11.527938797973063, -9.391242715279475, -0.349175282604536, 0.07630844678403825, 29867.28159925064, 1328.4099999999999, 19496013, 392490, 19511339, 388959, 11.60191065424896, -9.72907443953463, -0.27520342632863937, -0.2615232774711167, 31899.740802606088, -140.4399999999996, 13364091, -4927354, 13373284, -4934027 
TOI-233_W_2020-11-04.fits, 1604533669.3, 343.999680519337, -18.685485029241093, 51.42093169526353, 74.04999520348004, 1.0400396050349237, -0.22872223970673833, 343.79305371237325, -18.818347664369657, -0.20662680696375446, -0.13286263512856422, 20011.68944950068, -681.6800000000003, -16463800, 12295626, -16480100.0, 12295012.0, 343.9862391631932, -18.801193475718804, -0.013441356143800931, -0.11570844647771139, 9846.421930052224, -961.73, -9114930, 21502971, -9120520.0, 21512590.0, 344.1881182647038, -18.65362241518931, 0.18843774536679803, 0.031862614051782145, 15348.546472159303, 33.67000000000007, -9980665, 12104488, -9971230.0, 12105537.0, 344.0373208860787, -18.540961165032076, 0.03764036674169802, 0.14452386420901675, 12600.558412246512, 464.6700000000001, -10027352, 14645623, -10019502.0, 14641177.0, 343.7229510241255, -18.511172949920212, -0.27672949521149803, 0.174312079320881, 26657.17022494393, 514.1700000000001, -21596678, 7157081, -21593892.0, 7158091.0 
TOI-674_W_2020-12-26.fits, 1609394906.104696, 164.66939039329452, -37.169246189068765, 114.02193817244122, 53.352776663090324, 1.2463764837981839, -0.7533609739974825, 164.53970861329515, -37.34113631018567, -0.12968177999937325, -0.1718901211169026, 16962.5729248044, 665.3800000000001, -8634823, 8999704, -8654730.0, 9006562.0, 165.0276021782476, -37.103511263920645, 0.3582117849530846, 0.06573492514812074, 24812.016396489504, 1673.4800000000005, 13275751, 2223770, 13256689.0, 2223820.0, 164.83220464421163, -36.97087931709918, 0.16281425091710844, 0.1983668719695828, 20072.654195665396, -493.3599999999997, 1650030, 3118789, 1648339.0, 3124185.0, 164.57398128980344, -36.98070897801037, -0.0954091034910789, 0.18853721105839583, 17203.074129595967, 596.6999999999998, -4539773, 6062766, -4540601.0, 6063490.0, 164.34055006241672, -37.08165847136168, -0.32884033087779585, 0.08758771770708762, 23388.571907954047, 615.0500000000002, -14561173, 4898756, -14572187.0, 4909156.0 
EG274FU2_W_2020-03-02.fits, 1583395279.9, 245.80834673337134, -39.28269736898493, 119.23617196970014, 61.3809323544398, 1.1391810103988782, -0.5704072475301833, 245.8301141550916, -39.536305749034476, 0.021767421720255697, -0.253608380049549, 21512.61327965622, -144.85000000000036, 1495668, 2093747, 1485060.0, 2097720.0, 246.23389597150086, -39.27505080717792, 0.42554923812951984, 0.0076465618070074015, 27899.44352330493, 4805.12, 9730495, -2829542, 9708188.0, -2826044.0, 246.0465518662606, -39.119500026709076, 0.23820513288924872, 0.1631973422758506, 20857.08603253173, -184.22000000000025, -3866087, 2806973, -3870380.0, 2820207.0, 245.53581665009708, -39.03920843069667, -0.27253008327426187, 0.2434889382882588, 27285.60368564707, -735.0500000000002, 2039532, -4439239, 2018967.0, -4433133.0, 245.5188902839751, -39.31218300313726, -0.2894564493962264, -0.029485634152329965, 19114.408094349277, -337.59000000000015, -4120225, 4944749, -4131688.0, 4945195.0 
EG274FU2_W_2020-03-02.fits, 1583481323.6, 245.80839299264642, -39.2827036011651, 119.09320453040138, 60.99758845595096, 1.1433807445606736, -0.5791871135056255, 245.8301605151574, -39.53631196546603, 0.02176752251097014, -0.2536083643009235, 21512.588902610147, -144.85000000000036, 1495841, 2093783, 1486070.0, 2100541.0, 246.23394232521113, -39.27505692342709, 0.4255493325647137, 0.007646677738016194, 27899.55396437223, 4805.12, 9730634, -2829611, 9708254.0, -2824600.0, 246.04659807845707, -39.11950619070691, 0.23820508581064814, 0.1631974104581957, 20857.19157276914, -184.22000000000025, -3866101, 2806868, -3869590.0, 2819819.0, 245.53586278596418, -39.039214715672514, -0.2725302066822337, 0.24348888549258874, 27285.553900279483, -735.0500000000002, 2039499, -4439192, 2018262.0, -4432703.0, 245.51893652848653, -39.312189297331095, -0.28945646415988335, -0.029485696165991726, 19114.292934256162, -337.59000000000015, -4120168, 4944856, -4131029.0, 4946455.0 
EG274FU2_W_2020-03-02.fits, 1583825366.1, 245.80857795868948, -39.282728520190766, 118.4791688825834, 59.03570710491369, 1.166196929292139, -0.6239541905532207, 245.8303458842087, -39.53633682152124, 0.021767925519213804, -0.2536083013304733, 21512.454671064894, -144.85000000000036, 1496771, 2093981, 1484662.0, 2095955.0, 246.23412766884903, -39.275081378906336, 0.4255497101595438, 0.0076471412844298925, 27900.127691775593, 4805.12, 9731397, -2829951, 9707230.0, -2828630.0, 246.04678285625718, -39.11953083710801, 0.23820489756769803, 0.16319768308275684, 20857.744746396307, -184.22000000000025, -3866142, 2806309, -3868850.0, 2816319.0, 245.5360472585649, -39.039239845800225, -0.2725307001245767, 0.2434886743905409, 27285.301301909753, -735.0500000000002, 2039363, -4438950, 2016830.0, -4435143.0, 245.51912143549788, -39.312214464316384, -0.2894565231916033, -0.02948594412561789, 19113.694178761103, -337.59000000000015, -4119851, 4945407, -4132879.0, 4945052.0 
TOI-833_W_2020-01-07.fits, 1578550570.9, 146.06052237768452, -62.44747140710598, 168.20059668025615, 55.49064744693566, 1.213542569749316, -0.25289317899376673, 145.6892901013282, -62.834080541329975, -0.3712322763563236, -0.38660913422399545, 35781.08857329197, 447.07000000000016, -14328428, -9247830, -14355350.0, -9230916.0, 146.22515576653106, -62.660806861032675, 0.16463338884653922, -0.21333545392669606, 19169.794990452545, 647.19, -14679723, 11832073, -14683995.0, 11846703.0, 145.88282175527715, -62.39610191167276, -0.1777006224073716, 0.05136949543322089, 8200.323782207715, 568.5300000000002, 8887739, 23783741, 8907330.0, 23769809.0, 145.39256170934098, -62.37172310468755, -0.6679606683435395, 0.07574830241843244, 26956.32964232231, 693.1300000000001, 17199115, 2260433, 17190052.0, 2238197.0, 145.78108115663457, -62.56788082948173, -0.2794412210499502, -0.12040942237575081, 14934.782383055957, 737.5300000000002, 5666772, 10246725, 5652412.0, 10225721.0 
TOI-270_W_2019-11-25.fits, 1577070038.5, 68.6215169906356, -51.80860645186995, 175.44413522589002, 67.34681259653185, 1.0835961019660547, -0.049314944633535696, 68.67250166473583, -52.23428709145654, 0.050984674100234884, -0.42568063958658797, 36144.110728656255, -416.75, 2660409, -12506752, 2668790.0, -12494924.0, 68.53999797811417, -51.91694145991221, -0.0815190125214258, -0.10833500804226048, 10120.537315763602, -1493.8400000000001, -9524958, 24715515, -9519665.0, 24731250.0, 69.15289584938634, -51.776388214630614, 0.5313788587507418, 0.03221823723933426, 27954.77659608025, 872.25, -20348713, 4675402, -20344949.0, 4679509.0, 68.78932286179959, -51.64469688898839, 0.16780587116399204, 0.16390956288155678, 16418.77808048575, 5.5, -15683885, 16746753, -15679552.0, 16739547.0, 68.32243614921049, -51.721582537251614, -0.29908084142510916, 0.08702391461833514, 17305.494303535816, -483.9300000000003, -12529904, 11101812, -12532552.0, 11103614.0 
TOI-270_W_2019-11-25.fits, 1582589022.2, 68.62260649227778, -51.808249450337016, 203.19437757484823, 64.53789250839321, 1.107579403385281, 0.2774899394936811, 68.67357254102414, -52.23393322319412, 0.05096604874636057, -0.4256837728571057, 36143.51133175446, -416.75, 2658839, -12506267, 2674060.0, -12497279.0, 68.54108654056746, -51.91659842012593, -0.08151995171031956, -0.10834896978891351, 10122.184638413257, -1493.8400000000001, -9526192, 24719073, -9517014.0, 24730500.0, 69.15398251576978, -51.77603997663743, 0.5313760234920011, 0.03220947369958793, 27950.394199536488, 872.25, -20343465, 4676096, -20343383.0, 4675855.0, 68.79041802494145, -51.64434467133104, 0.1678115326636629, 0.1639047790059749, 16416.623407134717, 5.5, -15679956, 16742687, -15676075.0, 16734507.0, 68.32353068093138, -51.72122276977599, -0.29907581134639827, 0.08702668056102425, 17309.65072592918, -483.9300000000003, -12530499, 11096688, -12536564.0, 11098956.0 
TOI-270_W_2019-11-25.fits, 1584315448.9, 68.62294730783381, -51.8081377781242, 215.44223183952315, 58.83685068565733, 1.168637608403928, 0.5068116884626724, 68.67390753029376, -52.23382253105776, 0.05096022245994902, -0.425684752933563, 36142.576128115405, -416.75, 2659352, -12505290, 2673671.0, -12492890.0, 68.54142706207791, -51.9164911153762, -0.08152024575589678, -0.10835333725200513, 10122.9528147729, -1493.8400000000001, -9526687, 24721392, -9517291.0, 24731580.0, 69.1543224443892, -51.775931045802565, 0.5313751365553827, 0.03220673232163307, 27947.21098828594, 872.25, -20338451, 4675238, -20342034.0, 4681217.0, 68.79076061144175, -51.644234495614015, 0.167813303607943, 0.1639032825101836, 16415.445283641064, 5.5, -15677062, 16738579, -15679384.0, 16736807.0, 68.32387306994008, -51.721110232338624, -0.2990742378937341, 0.08702754578557403, 17312.936584117055, -483.9300000000003, -12530822, 11092500, -12531678.0, 11103062.0 
TOI-270_W_2019-11-25.fits, 1607907359.6, 68.62760470283497, -51.806611930391085, 138.03019020788344, 51.59405885097332, 1.2761140067391226, -0.7365802261166046, 68.67848530922507, -52.23231007332972, 0.05088060639009484, -0.4256981429386357, 36142.6618406655, -416.75, 2674702, -12504231, 2650100.0, -12494891.0, 68.54608042685248, -51.91502494997971, -0.08152427598248835, -0.10841301958862459, 10114.28315310717, -1493.8400000000001, -9519864, 24705391, -9520668.0, 24726770.0, 69.15896771819406, -51.77444265955697, 0.5313630153590907, 0.03216927083411747, 27964.958921879785, 872.25, -20353406, 4665297, -20352330.0, 4686785.0, 68.7954422036516, -51.64272909883302, 0.1678375008166313, 0.1638828315580625, 16425.988459997305, 5.5, -15692586, 16749103, -15683936.0, 16747797.0, 68.32855196468212, -51.71957256148882, -0.29905273815285227, 0.08703936890226771, 17297.347136065353, -483.9300000000003, -12527435, 11110647, -12541449.0, 11115216.0 
TOI-270_W_2019-11-25.fits, 1608510319.488997, 68.62772373838546, -51.806572937110914, 137.77782473846864, 51.13281585779658, 1.2843521109055378, -0.7503456360782703, 68.67860230998248, -52.23227142219913, 0.0508785715970248, -0.42569848508821906, 36142.58553428798, -416.75, 2674895, -12504140, 2649740.0, -12495562.0, 68.54619935910463, -51.914987482060596, -0.08152437928082179, -0.10841454494968161, 10114.100031662825, -1493.8400000000001, -9519701, 24705209, -9520678.0, 24726970.0, 69.15908644392626, -51.77440462371644, 0.5313627055408006, 0.03216831339447168, 27965.198493026433, 872.25, -20353559, 4665107, -20352160.0, 4686944.0, 68.7955618575578, -51.64269062826293, 0.1678381191723446, 0.16388230884798105, 16426.19101814422, 5.5, -15692834, 16749180, -15685135.0, 16747234.0, 68.32867154967818, -51.71953326604239, -0.2990521887072788, 0.08703967106852417, 17297.177951364018, -483.9300000000003, -12527467, 11110907, -12541343.0, 11115266.0 
TOI-270_W_2019-11-25.fits, 1609296165.352869, 68.62787887921552, -51.80652211694989, 180.51633397545265, 67.44626290763365, 1.0828133347512165, 0.0057748546687772994, 68.67875479884097, -52.23222104796101, 0.05087591962545446, -0.42569893101111944, 36144.06387312753, -416.75, 2659797, -12506750, 2661770.0, -12499352.0, 68.5463543652826, -51.914938649923876, -0.08152451393291926, -0.10841653297398324, 10120.86136233836, -1493.8400000000001, -9525204, 24716190, -9525379.0, 24726500.0, 69.159241180964, -51.774355051399766, 0.5313623017484872, 0.032167065550126495, 27954.037835476716, 872.25, -20348045, 4675765, -20345950.0, 4677154.0, 68.79571780429382, -51.64264048935905, 0.1678389250782999, 0.16388162759083968, 16418.37292282919, 5.5, -15683255, 16746264, -15677640.0, 16737363.0, 68.32882740660496, -51.71948205206451, -0.2990514726105573, 0.08704006488538596, 17306.166112409857, -483.9300000000003, -12530075, 11101054, -12540325.0, 11099992.0 
TOI-270_W_2019-11-25.fits, 1610432276.39014, 68.6281031693533, -51.80644864598703, 225.07170405900266, 36.456013221100946, 1.682919520103563, 1.1708952306420224, 68.6789752549814, -52.23214822166605, 0.050872085628100194, -0.42569957567901895, 36135.872657116575, -416.75, 2656877, -12498745, 2655750.0, -12496910.0, 68.54657846070747, -51.914868053083126, -0.08152470864582995, -0.10841940709609332, 10122.836262186416, -1493.8400000000001, -9525259, 24732260, -9526426.0, 24735610.0, 69.15946488732834, -51.77428338446755, 0.5313617179750452, 0.03216526151948074, 27935.75961158907, 872.25, -20320291, 4672026, -20324760.0, 4684673.0, 68.79594325953272, -51.6425680033055, 0.1678400901794248, 0.16388064268153357, 16413.80445023834, 5.5, -15668965, 16722601, -15667495.0, 16723460.0, 68.32905273200984, -51.719408011754965, -0.29905043734345327, 0.08704063423206776, 17326.574069844257, -483.9300000000003, -12536723, 11079361, -12541955.0, 11092979.0 
TOI-270_W_2019-11-25.fits, 1612829774.761043, 68.62857648289757, -51.806293605027626, 186.4162830815409, 67.24911301357139, 1.0843693755850994, 0.07005753275795895, 68.6794404777808, -52.23199454108724, 0.05086399488322968, -0.4257009360596129, 36143.98290355336, -416.75, 2659402, -12506698, 2662001.0, -12496993.0, 68.54705136318451, -51.91471907729376, -0.08152511971306353, -0.10842547226613419, 10121.216025730748, -1493.8400000000001, -9525476, 24716899, -9523963.0, 24728130.0, 69.15993696893933, -51.774132150496996, 0.5313604860417627, 0.03216145453063035, 27953.177812581358, 872.25, -20347086, 4675981, -20346005.0, 4682217.0, 68.79641903170902, -51.64241504078372, 0.1678425488114499, 0.1638785642439089, 16417.921704434444, 5.5, -15682481, 16745536, -15680303.0, 16740260.0, 68.32952823021989, -51.71925176932622, -0.29904825267767876, 0.087041835701406, 17306.962287968334, -483.9300000000003, -12530189, 11100071, -12539558.0, 11103248.0 
TOI-270_W_2019-11-25.fits, 1612915782.012529, 68.62859346246154, -51.806288043188815, 185.37870149500276, 67.30783482583458, 1.0839040935009279, 0.058620357533395256, 68.67945716709984, -52.23198902804934, 0.05086370463830292, -0.42570098486052643, 36143.99959734779, -416.75, 2659486, -12506709, 2663861.0, -12496219.0, 68.54706832799764, -51.914713733035406, -0.0815251344639023, -0.10842568984659096, 10121.155019272868, -1493.8400000000001, -9525430, 24716768, -9523720.0, 24728230.0, 69.15995390430884, -51.77412672522919, 0.5313604418472977, 0.032161317959626956, 27953.33054953828, 872.25, -20347251, 4675936, -20346440.0, 4679752.0, 68.79643609947223, -51.64240955350665, 0.16784263701069335, 0.1638784896821619, 16418.000047737467, 5.5, -15682615, 16745662, -15681432.0, 16739473.0, 68.32954528815536, -51.71924616438631, -0.29904817430617925, 0.08704187880250203, 17306.819663795435, -483.9300000000003, -12530161, 11100241, -12539448.0, 11102310.0 
TOI-270_W_2019-11-25.fits, 1614383687.93866, 68.62888325701651, -51.80619311863798, 203.76721590705966, 64.37338164674081, 1.1091003225808636, 0.2858658739600623, 68.67974200798056, -52.231894936384016, 0.050858750964053456, -0.4257018177460381, 36143.48440986295, -416.75, 2658592, -12506258, 2664010.0, -12494840.0, 68.54735787075077, -51.91462252198211, -0.08152538626573858, -0.10842940334413242, 10122.217425257682, -1493.8400000000001, -9526206, 24719227, -9526487.0, 24731460.0, 69.16024294458289, -51.77403413156787, 0.5313596875663791, 0.03215898707010467, 27950.280907823406, 872.25, -20343428, 4676225, -20346300.0, 4685414.0, 68.79672739933302, -51.64231590152257, 0.16784414231651112, 0.16387721711540593, 16416.57655810802, 5.5, -15679894, 16742659, -15678592.0, 16742249.0, 68.32983642028879, -51.71915050422026, -0.2990468367277259, 0.08704261441771877, 17309.76421553957, -483.9300000000003, -12530598, 11096625, -12531856.0, 11101263.0 
