field,time,temperature,ra,dec,az,alt,airmass,ha,FU1_ra,FU1_dec,FU1_Delta_ra,FU1_Delta_dec,FU1_distance,FU1_Delta_Teff,FU1_X_calculated,FU1_Y_calculated,FU1_X_observed,FU1_Y_observed,FU1_Delta_X,FU1_Delta_Y,FU2_ra,FU2_dec,FU2_Delta_ra,FU2_Delta_dec,FU2_distance,FU2_Delta_Teff,FU2_X_calculated,FU2_Y_calculated,FU2_X_observed,FU2_Y_observed,FU2_Delta_X,FU2_Delta_Y,FU3_ra,FU3_dec,FU3_Delta_ra,FU3_Delta_dec,FU3_distance,FU3_Delta_Teff,FU3_X_calculated,FU3_Y_calculated,FU3_X_observed,FU3_Y_observed,FU3_Delta_X,FU3_Delta_Y,FU4_ra,FU4_dec,FU4_Delta_ra,FU4_Delta_dec,FU4_distance,FU4_Delta_Teff,FU4_X_calculated,FU4_Y_calculated,FU4_X_observed,FU4_Y_observed,FU4_Delta_X,FU4_Delta_Y,FU5_ra,FU5_dec,FU5_Delta_ra,FU5_Delta_dec,FU5_distance,FU5_Delta_Teff,FU5_X_calculated,FU5_Y_calculated,FU5_X_observed,FU5_Y_observed,FU5_Delta_X,FU5_Delta_Y 
TOI-654_W_2020-01-23.fits,1612597528.089428,16.4,165.09391262691975,-5.514302189877009,322.3036302073198,61.226008632094846,1.1408684133558276,0.3002793445124631,165.18188005395947,-5.89272161171089,0.08796742703972882,-0.3784194218338808,32895.1485827901,-568.1700000000001,7963310.0,-8622449.0,7964760.0,-8619535.0,7247799.0,-32059505.0,165.33171061659985,-5.582687025424526,0.23779798968010368,-0.0683848355475174,20857.43781312731,-1279.5100000000002,1379039.0,2026021.0,1383010.0,2027266.0,534457.0,-20835081.0,165.23522235606862,-5.331237771860719,0.14130972914887252,0.18306441801628992,19554.18346933278,-1282.1800000000003,-239111.0,3875728.0,-241392.0,3878938.0,-618776.0,-19528231.0,164.9810888879645,-5.3377365778496735,-0.11282373895525666,0.17656561202733556,17728.88938332704,-1278.5,-1433022.0,5623039.0,-1426209.0,5628262.0,-1155799.0,-17676578.0,164.99204406467996,-5.661348152699672,-0.1018685622397868,-0.1470459628226628,15120.654500621586,-2491.9700000000003,9130090.0,11468565.0,9132365.0,11469510.0,9102638.0,-12055365.0
TOI-654_W_2020-01-23.fits,1612597667.284566,16.3,165.09391268285782,-5.514302213640373,321.2980062268197,60.91223841645323,1.1443270019088652,0.31042961425741267,165.18188010982226,-5.892721635481821,0.08796742696443971,-0.37841942184144806,32895.0870531919,-568.1700000000001,7963197.0,-8622412.0,7964136.0,-8618500.0,7247175.0,-32058470.0,165.33171067250328,-5.582687049186357,0.23779798964545762,-0.0683848355459844,20857.27451929343,-1279.5100000000002,1379046.0,2026185.0,1383295.0,2027656.0,534742.0,-20834691.0,165.23522241198444,-5.331237795597725,0.14130972912661832,0.1830644180426475,19554.10479695885,-1282.1800000000003,-238934.0,3875801.0,-240763.0,3878552.0,-618147.0,-19528617.0,164.98108894387607,-5.337736601564766,-0.11282373898174569,0.17656561207560717,17728.999374550844,-1278.5,-1432880.0,5622920.0,-1426641.0,5627827.0,-1156231.0,-17677013.0,164.9920441206878,-5.661348176742067,-0.1018685621700115,-0.14704596310169382,15120.726185215246,-2491.9700000000003,9130031.0,11468431.0,9131504.0,11469421.0,9101777.0,-12055454.0
TOI-654_W_2020-01-23.fits,1612597807.90529,16.3,165.09391273936882,-5.5143022376471125,320.3015657575374,60.58826572930392,1.1479563585117167,0.32068383937398,165.18188016625717,-5.8927216594962095,0.0879674268883548,-0.37841942184909705,32895.02369141346,-568.1700000000001,7963083.0,-8622373.0,7964750.0,-8618690.0,7247789.0,-32058660.0,165.33171072897926,-5.582687073191547,0.23779798961044207,-0.06838483554443453,20857.10833720994,-1279.5100000000002,1379055.0,2026351.0,1383652.0,2027199.0,535099.0,-20835148.0,165.23522246847287,-5.331237819577842,0.14130972910405148,0.18306441806927065,19554.02553081184,-1282.1800000000003,-238753.0,3875875.0,-241361.0,3878039.0,-618745.0,-19529130.0,164.98108900036033,-5.33773662552274,-0.11282373900849052,0.1765656121243726,17729.111898558676,-1278.5,-1432735.0,5622797.0,-1426991.0,5628078.0,-1156581.0,-17676762.0,164.9920441772693,-5.661348201030696,-0.10186856209952566,-0.1470459633835839,15120.798326484593,-2491.9700000000003,9129971.0,11468295.0,9131383.0,11469811.0,9101656.0,-12055064.0
TOI-654_W_2020-01-23.fits,1612597948.525969,16.3,165.0939127958798,-5.514302261653844,319.32447038705993,60.257500717822545,1.1517237468873465,0.3309380612220509,165.18188022269206,-5.892721683510588,0.08796742681226988,-0.3784194218567434,32894.959098089996,-568.1700000000001,7962972.0,-8622332.0,7963923.0,-8619000.0,7246962.0,-32058970.0,165.33171078545521,-5.582687097196731,0.23779798957542653,-0.06838483554288644,20856.940889818652,-1279.5100000000002,1379066.0,2026519.0,1383255.0,2027576.0,534702.0,-20834771.0,165.2352225249613,-5.331237843557946,0.14130972908151307,0.18306441809589824,19553.946464452736,-1282.1800000000003,-238569.0,3875948.0,-241165.0,3878308.0,-618549.0,-19528861.0,164.98108905684458,-5.337736649480705,-0.11282373903520693,0.17656561217313893,17729.225871180653,-1278.5,-1432588.0,5622673.0,-1426646.0,5627969.0,-1156236.0,-17676871.0,164.9920442338507,-5.661348225319321,-0.10186856202909667,-0.14704596366547662,15120.870200061177,-2491.9700000000003,9129911.0,11468159.0,9131853.0,11469442.0,9102126.0,-12055433.0
TOI-654_W_2020-01-23.fits,1612598088.433925,16.4,165.0939128521044,-5.514302285538899,318.3712645209111,59.92189669217152,1.1556111016628718,0.34114031046963766,165.1818802788409,-5.892721707403251,0.0879674267364976,-0.3784194218643524,32894.89358576973,-568.1700000000001,7962862.0,-8622289.0,7963480.0,-8618738.0,7246519.0,-32058708.0,165.33171084164493,-5.5826871210802445,0.23779798954052467,-0.06838483554134545,20856.77299124401,-1279.5100000000002,1379080.0,2026687.0,1383241.0,2028131.0,534688.0,-20834216.0,165.23522258116344,-5.33123786741651,0.1413097290590315,0.18306441812238905,19553.867983879994,-1282.1800000000003,-238382.0,3876021.0,-241126.0,3878532.0,-618510.0,-19528637.0,164.9810891130425,-5.337736673317245,-0.11282373906192333,0.1765656122216539,17729.34073982317,-1278.5,-1432440.0,5622548.0,-1426671.0,5628457.0,-1156261.0,-17676383.0,164.99204429014537,-5.661348249484837,-0.10186856195903715,-0.1470459639459376,15120.941454838367,-2491.9700000000003,9129851.0,11468025.0,9131884.0,11469375.0,9102157.0,-12055500.0
TOI-654_W_2020-01-23.fits,1612598229.054656,16.4,165.0939129086154,-5.514302309545639,317.4319520506787,59.57825519895368,1.1596602111358985,0.3513945361077725,165.18188033527582,-5.892721731417637,0.08796742666041268,-0.37841942187199873,32894.82646183311,-568.1700000000001,7962753.0,-8622245.0,7963593.0,-8618353.0,7246632.0,-32058323.0,165.3317108981209,-5.582687145085436,0.2377979895054807,-0.06838483553979735,20856.602885359214,-1279.5100000000002,1379096.0,2026858.0,1383800.0,2027880.0,535247.0,-20834467.0,165.2352226376519,-5.331237891396624,0.14130972903649308,0.18306441814901486,19553.789276141673,-1282.1800000000003,-238192.0,3876094.0,-241101.0,3877874.0,-618485.0,-19529295.0,164.98108916952674,-5.337736697275219,-0.11282373908866816,0.17656561227041934,17729.45771222937,-1278.5,-1432289.0,5622421.0,-1427378.0,5627611.0,-1156968.0,-17677229.0,164.99204434672683,-5.661348273773466,-0.10186856188857973,-0.14704596422782767,15121.012827992347,-2491.9700000000003,9129790.0,11467889.0,9131311.0,11469579.0,9101584.0,-12055296.0
TOI-654_W_2020-01-23.fits,1612598368.96257,16.4,165.09391296483994,-5.5143023334306855,316.51575461126623,59.23027379739099,1.1638322884439873,0.36159678229545045,165.18188039142464,-5.892721755310295,0.08796742658469725,-0.37841942187960953,32894.758380885294,-568.1700000000001,7962647.0,-8622200.0,7963119.0,-8619390.0,7246158.0,-32059360.0,165.33171095431055,-5.582687168968943,0.23779798947060726,-0.06838483553825725,20856.432250396585,-1279.5100000000002,1379114.0,2027029.0,1383020.0,2028228.0,534467.0,-20834119.0,165.235222693854,-5.33123791525518,0.14130972901406835,0.18306441817550567,19553.711125924132,-1282.1800000000003,-238000.0,3876166.0,-241188.0,3878482.0,-618572.0,-19528687.0,164.98108922572467,-5.337736721111751,-0.11282373911527088,0.1765656123189343,17729.57564082282,-1278.5,-1432138.0,5622293.0,-1426393.0,5627788.0,-1155983.0,-17677052.0,164.99204440302148,-5.661348297938976,-0.10186856181846338,-0.14704596450829044,15121.083607014072,-2491.9700000000003,9129729.0,11467754.0,9131563.0,11468847.0,9101836.0,-12056028.0
TOI-654_W_2020-01-23.fits,1612598510.296288,16.4,165.0939130216375,-5.51430235755915,315.60848576382347,58.87279797834609,1.1681946080296228,0.3719029997627181,165.18188044814568,-5.892721779446445,0.08796742650818601,-0.37841942188729494,32894.6882650294,-568.1700000000001,7962540.0,-8622152.0,7962829.0,-8618601.0,7245868.0,-32058571.0,165.3317110110729,-5.582687193095848,0.2377979894354212,-0.06838483553669761,20856.258419139198,-1279.5100000000002,1379135.0,2027203.0,1383179.0,2028166.0,534626.0,-20834181.0,165.23522275062888,-5.331237939356881,0.14130972899138783,0.18306441820226915,19553.632326315357,-1282.1800000000003,-237802.0,3876239.0,-241098.0,3878068.0,-618482.0,-19529101.0,164.9810892824953,-5.337736745191201,-0.11282373914218624,0.17656561236794932,17729.69638024337,-1278.5,-1431983.0,5622162.0,-1427281.0,5627681.0,-1156871.0,-17677159.0,164.99204445988983,-5.66134832235076,-0.1018685617476649,-0.14704596479160958,15121.154883293224,-2491.9700000000003,9129666.0,11467618.0,9131240.0,11469096.0,9101513.0,-12055779.0
TOI-654_W_2020-01-23.fits,1612598650.203974,16.4,165.0939130778619,-5.51430238144416,314.72812043222785,58.51324382615032,1.1726616228813593,0.3821052293296372,165.18188050429444,-5.892721803339062,0.08796742643252742,-0.3784194218949022,32894.61750113596,-568.1700000000001,7962436.0,-8622103.0,7962153.0,-8618576.0,7245192.0,-32058546.0,165.33171106726252,-5.5826872169793145,0.2377979894006046,-0.06838483553515484,20856.084850182207,-1279.5100000000002,1379157.0,2027377.0,1383196.0,2028920.0,534643.0,-20833427.0,165.2352228068309,-5.331237963215399,0.14130972896899152,0.18306441822876085,19553.55445391557,-1282.1800000000003,-237603.0,3876311.0,-240622.0,3878303.0,-618006.0,-19528866.0,164.98108933869315,-5.33773676902769,-0.11282373916876054,0.17656561241646962,17729.81753514691,-1278.5,-1431829.0,5622030.0,-1426706.0,5627502.0,-1156296.0,-17677338.0,164.9920445161844,-5.661348346516228,-0.10186856167752012,-0.1470459650720688,15121.22522972,-2491.9700000000003,9129604.0,11467483.0,9130863.0,11468449.0,9101136.0,-12056426.0
TOI-654_W_2020-01-23.fits,1612598790.111836,16.4,165.09391313408645,-5.514302405329199,313.86507202553753,58.14822880099959,1.1772791705746575,0.39230747172722424,165.18188056044323,-5.8927218272317115,0.08796742635678356,-0.3784194219025121,32894.54535972374,-568.1700000000001,7962333.0,-8622052.0,7962337.0,-8618358.0,7245376.0,-32058328.0,165.33171112345218,-5.582687240862813,0.23779798936573115,-0.06838483553361385,20855.909746954774,-1279.5100000000002,1379183.0,2027553.0,1383200.0,2028694.0,534647.0,-20833653.0,165.23522286303302,-5.331237987073948,0.1413097289465668,0.18306441825525166,19553.476699447532,-1282.1800000000003,-237401.0,3876382.0,-241099.0,3878336.0,-618483.0,-19528833.0,164.98108939489106,-5.337736792864215,-0.11282373919539168,0.1765656124649846,17729.940357687825,-1278.5,-1431672.0,5621897.0,-1426788.0,5627625.0,-1156378.0,-17677215.0,164.99204457247905,-5.66134837068173,-0.10186856160740376,-0.14704596535253067,15121.295377684759,-2491.9700000000003,9129542.0,11467348.0,9130747.0,11468444.0,9101020.0,-12056431.0
TOI-654_W_2020-01-23.fits,1612598929.306726,16.5,165.09391319002447,-5.51430242909252,313.0232618111148,57.77984277672881,1.1820252131151054,0.40245772339099095,165.1818806163059,-5.8927218510026025,0.08796742628143761,-0.37841942191008204,32894.472189541666,-568.1700000000001,7962232.0,-8622000.0,7962459.0,-8618342.0,7245498.0,-32058312.0,165.3317111793555,-5.582687264624603,0.23779798933102825,-0.06838483553208263,20855.733962977545,-1279.5100000000002,1379210.0,2027730.0,1383495.0,2029345.0,534942.0,-20833002.0,165.2352229189487,-5.331238010810913,0.14130972892422733,0.18306441828160747,19553.399445001098,-1282.1800000000003,-237197.0,3876453.0,-240864.0,3878197.0,-618248.0,-19528972.0,164.98108945080256,-5.337736816579265,-0.11282373922190914,0.1765656125132553,17730.064251953114,-1278.5,-1431515.0,5621762.0,-1427168.0,5627157.0,-1156758.0,-17677683.0,164.99204462848675,-5.661348394724085,-0.10186856153771373,-0.14704596563156436,15121.36498207146,-2491.9700000000003,9129479.0,11467213.0,9130281.0,11468385.0,9100554.0,-12056490.0
TOI-654_W_2020-01-23.fits,1612599069.214724,16.5,165.09391324624903,-5.514302452977582,312.1937108854644,57.40449431247357,1.186951149192778,0.4126599757158544,165.18188067245478,-5.892721874895275,0.0879674262057506,-0.37841942191769284,32894.39721022461,-568.1700000000001,7962131.0,-8621946.0,7962105.0,-8618076.0,7245144.0,-32058046.0,165.33171123554524,-5.582687288508123,0.23779798929621165,-0.06838483553054076,20855.555644885284,-1279.5100000000002,1379240.0,2027909.0,1383147.0,2029228.0,534594.0,-20833119.0,165.23522297515083,-5.331238034669486,0.1413097289018026,0.1830644183080965,19553.321885591347,-1282.1800000000003,-236988.0,3876525.0,-241110.0,3877994.0,-618494.0,-19529175.0,164.9810895070005,-5.337736840415809,-0.11282373924854028,0.17656561256177294,17730.190531761968,-1278.5,-1431354.0,5621625.0,-1427116.0,5627227.0,-1156706.0,-17677613.0,164.99204468478143,-5.661348418889609,-0.10186856146759737,-0.14704596591202623,15121.43476702656,-2491.9700000000003,9129415.0,11467077.0,9130504.0,11468282.0,9100777.0,-12056593.0
TOI-654_W_2020-01-23.fits,1612599209.83536,16.5,165.09391330276,-5.514302476984307,311.37631224049295,57.022285957456475,1.1920622731630348,0.42291419441710243,165.1818807288897,-5.892721898909647,0.0879674261296941,-0.37841942192534006,32894.320367809065,-568.1700000000001,7962031.0,-8621890.0,7962161.0,-8619187.0,7245200.0,-32059157.0,165.33171129202117,-5.582687312513299,0.23779798926116769,-0.06838483552899177,20855.37471367967,-1279.5100000000002,1379272.0,2028090.0,1383253.0,2029041.0,534700.0,-20833306.0,165.23522303163924,-5.331238058649583,0.14130972887923576,0.1830644183347241,19553.244009073213,-1282.1800000000003,-236775.0,3876596.0,-241241.0,3877863.0,-618625.0,-19529306.0,164.98108956348474,-5.3377368643737695,-0.11282373927525668,0.1765656126105375,17730.31927006393,-1278.5,-1431192.0,5621485.0,-1427048.0,5627234.0,-1156638.0,-17677606.0,164.99204474136286,-5.661348443178222,-0.10186856139713996,-0.1470459661939154,15121.504740804778,-2491.9700000000003,9129350.0,11466940.0,9130392.0,11467563.0,9100665.0,-12057312.0
